Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,7194.892090,9553.125977,6914.996094,9350.529297,9350.529297,852872174496
2020-02-01,9346.357422,10457.626953,8492.932617,8599.508789,8599.508789,1163376492768
2020-03-01,8599.758789,9167.695313,4106.980957,6438.644531,6438.644531,1290442059648
2020-04-01,6437.319336,9440.650391,6202.373535,8658.553711,8658.553711,1156127164831
2020-05-01,8672.782227,9996.743164,8374.323242,9461.058594,9461.058594,1286368141507
2020-06-01,9463.605469,10199.565430,8975.525391,9137.993164,9137.993164,650913318680
2020-07-01,9145.985352,11415.864258,8977.015625,11323.466797,11323.466797,545813339109
2020-08-01,11322.570313,12359.056641,11012.415039,11680.820313,11680.820313,708377092130
2020-09-01,11679.316406,12067.081055,9916.493164,10784.491211,10784.491211,1075949438431
2020-10-01,10795.254883,14028.213867,10416.689453,13780.995117,13780.995117,1050874546086
2020-11-01,13780.995117,19749.263672,13243.160156,19625.835938,19625.835938,1093144913227
2020-12-01,19633.769531,29244.876953,17619.533203,29001.720703,29001.720703,1212259707946
2021-01-01,28994.009766,41946.738281,28722.755859,33114.359375,33114.359375,2153473433571
2021-02-01,33114.578125,58330.570313,32384.228516,45137.769531,45137.769531,2267152936675
2021-03-01,45159.503906,61683.863281,45115.093750,58918.832031,58918.832031,1681184264687
2021-04-01,58926.562500,64863.097656,47159.484375,57750.175781,57750.175781,1844481772417
2021-05-01,57714.664063,59519.355469,30681.496094,37332.855469,37332.855469,1976593438572
2021-06-01,37293.792969,41295.269531,28893.621094,35040.835938,35040.835938,1189647451707
2021-07-01,35035.984375,42235.546875,29360.955078,41626.195313,41626.195313,819103381204
2021-08-01,41460.843750,50482.078125,37458.003906,47166.687500,47166.687500,1014674184428
2021-09-01,47099.773438,52853.765625,39787.609375,43790.894531,43790.894531,1102139678824
2021-10-01,43816.742188,66930.390625,43320.023438,61318.957031,61318.957031,1153077903534
2021-11-01,61320.449219,68789.625000,53569.765625,57005.425781,57005.425781,1053270271383
2021-12-01,56907.964844,59041.683594,42874.617188,46306.445313,46306.445313,957047184722
2022-01-01,46311.746094,47881.406250,33184.058594,38483.125000,38483.125000,923979037681
2022-02-01,38481.765625,45661.171875,34459.218750,43193.234375,43193.234375,671335993325
2022-03-01,43194.503906,48086.835938,37260.203125,45538.675781,45538.675781,830943838435
2022-04-01,45554.164063,47313.476563,37697.941406,37714.875000,37714.875000,830115888649
2022-05-01,37713.265625,39902.949219,26350.490234,31792.310547,31792.310547,1105689315990
2022-06-01,31792.554688,31957.285156,17708.623047,19784.726563,19784.726563,923939211678
2022-07-01,19820.470703,24572.580078,18966.951172,23336.896484,23336.896484,927582363389
2022-08-01,23336.718750,25135.589844,19600.785156,20049.763672,20049.763672,894192654543
2022-09-01,20050.498047,22673.820313,18290.314453,19431.789063,19431.789063,1123272250385
2022-10-01,19431.105469,20988.394531,18319.822266,20495.773438,20495.773438,957903424925
2022-11-01,20494.898438,21446.886719,15599.046875,17168.566406,17168.566406,1224531549126
2022-12-01,17168.001953,18318.531250,16398.136719,16547.496094,16547.496094,541356716034
2023-01-01,16547.914063,23919.890625,16521.234375,23139.283203,23139.283203,690994018045
2023-02-01,23137.835938,25134.117188,21460.087891,23147.353516,23147.353516,723968574897
2023-03-01,23150.929688,29159.902344,19628.253906,28478.484375,28478.484375,883299703608
2023-04-01,28473.332031,31005.607422,27070.849609,29268.806641,29268.806641,511540319004
2023-05-01,29227.103516,29820.126953,25878.429688,27219.658203,27219.658203,443473015479
2023-06-01,27218.412109,31389.539063,24797.167969,30477.251953,30477.251953,481734214225
2023-07-01,30471.847656,31814.515625,28934.294922,29230.111328,29230.111328,382224489090
2023-08-01,29230.873047,30176.796875,25409.111328,25931.472656,25931.472656,437724169499
2023-09-01,25934.021484,27488.763672,24930.296875,26967.916016,26967.916016,337637313742
2023-10-01,26967.396484,35150.433594,26558.320313,34667.781250,34667.781250,476425634860
2023-11-01,34657.273438,38415.339844,34133.441406,37712.746094,37712.746094,570863267380
2023-12-01,37718.007813,44705.515625,37629.359375,42265.187500,42265.187500,721704910480
2024-01-01,42280.234375,48969.371094,38521.894531,42582.605469,42582.605469,825918941347
2024-02-01,42569.761719,63913.132813,41879.191406,61198.382813,61198.382813,830721862621
2024-03-01,61168.062500,73750.070313,59323.910156,71333.648438,71333.648438,1446417844950
2024-04-01,71333.484375,72715.359375,59120.066406,60636.855469,60636.855469,1016068331704
2024-05-01,60609.496094,71946.460938,56555.292969,67491.414063,67491.414063,874291509757
2024-06-01,67489.609375,71907.851563,58601.699219,62678.292969,62678.292969,726773965644
2024-07-01,62673.605469,69987.539063,53717.375000,64619.250000,64619.250000,953395573307
2024-08-01,64625.839844,65593.242188,49121.238281,58969.898438,58969.898438,1043105485208
2024-09-01,58969.800781,59403.070313,57136.027344,59112.480469,59112.480469,51628904521
